lang,century_ah,death_ah,author_uri,author_translit,author_name,book_uri,title_translit,title_ar,genre_tags,n_versions,version_ids,version_files,book_path,book_yml,tafsir_flag,tafsir_reason
AR,350,333,0333AbuCarabTamimi,AbuCarabTamimi,Ibn Fulān al-Fulānī,0333AbuCarabTamimi.TabaqatCulama,TabaqatCulama,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",1,Shamela0013079-ara1,0333AbuCarabTamimi.TabaqatCulama.Shamela0013079-ara1.completed,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333AbuCarabTamimi/0333AbuCarabTamimi.TabaqatCulama,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333AbuCarabTamimi/0333AbuCarabTamimi.TabaqatCulama/0333AbuCarabTamimi.TabaqatCulama.yml,0,
AR,350,333,0333AbuMansurMaturidi,AbuMansurMaturidi,Ibn Fulān al-Fulānī,0333AbuMansurMaturidi.Tafsir,Tafsir,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,Shamela0095590-ara1 | Tafsir02094-ara1,0333AbuMansurMaturidi.Tafsir.Shamela0095590-ara1 | 0333AbuMansurMaturidi.Tafsir.Tafsir02094-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333AbuMansurMaturidi/0333AbuMansurMaturidi.Tafsir,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333AbuMansurMaturidi/0333AbuMansurMaturidi.Tafsir/0333AbuMansurMaturidi.Tafsir.yml,1,title
AR,350,333,0333AbuMansurMaturidi,AbuMansurMaturidi,Ibn Fulān al-Fulānī,0333AbuMansurMaturidi.Tawhid,Tawhid,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,JK000339-ara1 | Shamela0006365-ara1,0333AbuMansurMaturidi.Tawhid.JK000339-ara1 | 0333AbuMansurMaturidi.Tawhid.Shamela0006365-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333AbuMansurMaturidi/0333AbuMansurMaturidi.Tawhid,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333AbuMansurMaturidi/0333AbuMansurMaturidi.Tawhid/0333AbuMansurMaturidi.Tawhid.yml,0,
AR,350,333,0333IbnCuqdahKufi,IbnCuqdahKufi,Ibn Fulān al-Fulānī,0333IbnCuqdahKufi.FadailAmirMuminin,FadailAmirMuminin,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,Masaha002871-ara1 | Shia003683-ara1,0333IbnCuqdahKufi.FadailAmirMuminin.Masaha002871-ara1 | 0333IbnCuqdahKufi.FadailAmirMuminin.Shia003683-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333IbnCuqdahKufi/0333IbnCuqdahKufi.FadailAmirMuminin,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333IbnCuqdahKufi/0333IbnCuqdahKufi.FadailAmirMuminin/0333IbnCuqdahKufi.FadailAmirMuminin.yml,0,
AR,350,333,0333IbnCuqdahKufi,IbnCuqdahKufi,Ibn Fulān al-Fulānī,0333IbnCuqdahKufi.Hadith,Hadith,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",1,ShamAY0032804-ara1,0333IbnCuqdahKufi.Hadith.ShamAY0032804-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333IbnCuqdahKufi/0333IbnCuqdahKufi.Hadith,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333IbnCuqdahKufi/0333IbnCuqdahKufi.Hadith/0333IbnCuqdahKufi.Hadith.yml,0,
AR,350,333,0333IbnCuqdahKufi,IbnCuqdahKufi,Ibn Fulān al-Fulānī,0333IbnCuqdahKufi.Wilaya,Wilaya,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",1,Shia003991-ara1,0333IbnCuqdahKufi.Wilaya.Shia003991-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333IbnCuqdahKufi/0333IbnCuqdahKufi.Wilaya,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333IbnCuqdahKufi/0333IbnCuqdahKufi.Wilaya/0333IbnCuqdahKufi.Wilaya.yml,0,
AR,350,333,0333IbnMarwanDinawari,IbnMarwanDinawari,Ibn Marwān al-Dīnawarī,0333IbnMarwanDinawari.MujalasaWaJawahirCilm,MujalasaWaJawahirCilm,ʾAl-mujālasa=t wa jawāhir?u al-ʿilm,"src@keyword, src@keyword, src@keyword",3,JK007082-ara1 | ShamAY0033954-ara1 | Shamela0009948-ara1,0333IbnMarwanDinawari.MujalasaWaJawahirCilm.JK007082-ara1.mARkdown | 0333IbnMarwanDinawari.MujalasaWaJawahirCilm.ShamAY0033954-ara1 | 0333IbnMarwanDinawari.MujalasaWaJawahirCilm.Shamela0009948-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333IbnMarwanDinawari/0333IbnMarwanDinawari.MujalasaWaJawahirCilm,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333IbnMarwanDinawari/0333IbnMarwanDinawari.MujalasaWaJawahirCilm/0333IbnMarwanDinawari.MujalasaWaJawahirCilm.yml,0,
AR,350,333,0333IbnMarwanDinawari,IbnMarwanDinawari,Ibn Marwān al-Dīnawarī,0333IbnMarwanDinawari.Qinaca,Qinaca,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",3,JK000040-ara1 | ShamAY0033920-ara1 | Shamela0013054-ara1,0333IbnMarwanDinawari.Qinaca.JK000040-ara1 | 0333IbnMarwanDinawari.Qinaca.ShamAY0033920-ara1 | 0333IbnMarwanDinawari.Qinaca.Shamela0013054-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333IbnMarwanDinawari/0333IbnMarwanDinawari.Qinaca,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333IbnMarwanDinawari/0333IbnMarwanDinawari.Qinaca/0333IbnMarwanDinawari.Qinaca.yml,0,
AR,350,333,0333IbnMuhammadMadini,IbnMuhammadMadini,Ibn Fulān al-Fulānī,0333IbnMuhammadMadini.Juz,Juz,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,JK001438-ara1 | Shamela0013111-ara1,0333IbnMuhammadMadini.Juz.JK001438-ara1.completed | 0333IbnMuhammadMadini.Juz.Shamela0013111-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333IbnMuhammadMadini/0333IbnMuhammadMadini.Juz,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0333IbnMuhammadMadini/0333IbnMuhammadMadini.Juz/0333IbnMuhammadMadini.Juz.yml,0,
AR,350,334,0334Azdi,Azdi,al-Azdī,0334Azdi.TarikhMawsil,TarikhMawsil,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,EScr202211221604-ara1 | Kraken210528100217-ara1,0334Azdi.TarikhMawsil.EScr202211221604-ara1 | 0334Azdi.TarikhMawsil.Kraken210528100217-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0334Azdi/0334Azdi.TarikhMawsil,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0334Azdi/0334Azdi.TarikhMawsil/0334Azdi.TarikhMawsil.yml,0,
